Summary,Issue Type,Description,Priority,Story Points,Epic Link,Labels,Component,Sprint,Acceptance Criteria
"Epic 1.1: Multi-Tenant Portal",Epic,"Provide secure, isolated workspaces for each customer organization",High,24,,"phase-1,foundation",Portal,,
"User Authentication System",Story,"As a platform user, I want to securely authenticate using email/password or SSO so that I can access my organization's workspace",High,8,Epic 1.1: Multi-Tenant Portal,"auth,security",Portal,Sprint 1,"- Email/password authentication with bcrypt hashing
- JWT tokens with 24h expiry and refresh tokens
- Google OAuth 2.0 integration
- Microsoft Azure AD integration
- Password reset via email
- Account lockout after 5 failed attempts
- Session management (view/revoke active sessions)"
"Design auth database schema",Sub-task,"Design users, sessions, tokens tables",High,1,,,Portal,Sprint 1,
"Implement JWT service with RS256 signing",Sub-task,"Create JWT generation and validation service",High,1,,,Portal,Sprint 1,
"Create login/register API endpoints",Sub-task,"POST /auth/login, POST /auth/register, POST /auth/logout",High,1,,,Portal,Sprint 1,
"Implement Google OAuth flow",Sub-task,"Google OAuth 2.0 integration",Medium,1,,,Portal,Sprint 1,
"Implement Azure AD OAuth flow",Sub-task,"Microsoft Azure AD OAuth integration",Medium,1,,,Portal,Sprint 1,
"Build password reset flow",Sub-task,"Password reset with email templates",Medium,1,,,Portal,Sprint 1,
"Add rate limiting and account lockout",Sub-task,"Rate limiting per IP, lockout after 5 failures",High,1,,,Portal,Sprint 1,
"Create session management API",Sub-task,"View/revoke active sessions",Medium,1,,,Portal,Sprint 1,
"Organization & Tenant Management",Story,"As a platform administrator, I want to create and manage organizations so that customers have isolated workspaces",High,8,Epic 1.1: Multi-Tenant Portal,"multi-tenant,rbac",Portal,Sprint 2,"- Create organization with name, domain, settings
- Invite users to organization via email
- Role-based access control (Owner, Admin, Member, Viewer)
- Organization-level settings
- Data isolation between tenants
- Organization suspension/deletion"
"Design multi-tenant database schema",Sub-task,"Design organizations table with tenant isolation",High,1,,,Portal,Sprint 2,
"Implement tenant isolation middleware",Sub-task,"Add organization_id context to all queries",High,2,,,Portal,Sprint 2,
"Create organization CRUD APIs",Sub-task,"Organization management endpoints",High,1,,,Portal,Sprint 2,
"Build invitation system",Sub-task,"Email-based user invitations",Medium,2,,,Portal,Sprint 2,
"Implement RBAC with permission matrix",Sub-task,"Role-based access control system",High,2,,,Portal,Sprint 2,
"Portal Dashboard UI",Story,"As a logged-in user, I want to see a dashboard with my projects and recent activity so that I can quickly navigate to my work",High,8,Epic 1.1: Multi-Tenant Portal,"ui,dashboard",Portal,Sprint 2,"- Dashboard shows active projects (BUILD/RUN)
- Recent activity feed (last 20 actions)
- Pending approvals counter with quick access
- Quick actions menu
- Navigation sidebar
- User profile menu
- Responsive design"
"Epic 1.2: Database Architecture",Epic,"Provide reliable, scalable data storage with full audit capabilities",High,10,,"phase-1,database",Database,,
"Core Database Schema",Story,"As a developer, I want a well-designed database schema so that the platform can scale and maintain data integrity",High,5,Epic 1.2: Database Architecture,"database,schema",Database,Sprint 1,"- PostgreSQL with proper indexes
- Multi-tenant schema with organization_id
- Soft delete support
- Audit columns
- Database migrations
- Seed data"
"Vector Database for RAG",Story,"As a platform, I want to store and search document embeddings efficiently so that AI agents can retrieve relevant knowledge",High,5,Epic 1.2: Database Architecture,"database,rag,vector",Database,Sprint 2,"- pgvector extension enabled
- Documents table with vector column
- HNSW index for similarity search
- Multiple knowledge bases per org
- Chunking metadata"
"Epic 1.3: API Gateway & Backend",Epic,"Provide secure, scalable API infrastructure",High,10,,"phase-1,api",Backend,,
"RESTful API Framework",Story,"As a frontend developer, I want a well-documented REST API so that I can build the UI efficiently",High,5,Epic 1.3: API Gateway & Backend,"api,documentation",Backend,Sprint 1,"- OpenAPI 3.0 specification
- Consistent error response format
- Request validation
- Rate limiting per organization
- API versioning (v1)
- Swagger UI documentation"
"WebSocket Infrastructure",Story,"As a user, I want to receive real-time updates so that I see agent progress and approvals immediately",High,5,Epic 1.3: API Gateway & Backend,"websocket,realtime",Backend,Sprint 2,"- WebSocket server with authentication
- Room-based subscriptions
- Event types: agent_update, approval_request, notification
- Automatic reconnection
- Presence tracking"
"Epic 2.1: Workflow Engine",Epic,"Enable structured BUILD/RUN processes with clear phase gates",Critical,21,,"phase-2,workflow",Workflow,,
"Workflow State Machine",Story,"As a project manager, I want to move projects through defined phases so that delivery follows a consistent process",Critical,13,Epic 2.1: Workflow Engine,"workflow,state-machine",Workflow,Sprint 3,"- BUILD workflow: Intake → Discovery → Scoping → Design → Approval → Build → Testing → Release → Hypercare
- RUN workflow: Intake → Triage → Execute → Validate → Close
- State transitions with validation
- Phase entry/exit timestamps
- Workflow history"
"Phase Gate UI",Story,"As a project stakeholder, I want to see the current phase and progress visually so that I understand where the project stands",High,8,Epic 2.1: Workflow Engine,"ui,workflow",Workflow,Sprint 4,"- Visual workflow timeline
- Current phase highlighted
- Completed phases with timestamps
- Upcoming phases with requirements
- Phase detail modal
- Phase transition buttons"
"Epic 2.2: Approval Engine",Epic,"Ensure human oversight on all critical decisions",Critical,29,,"phase-2,approval,governance",Approval,,
"Approval Request System",Story,"As an AI agent, I want to request human approval before taking action so that humans remain in control of decisions",Critical,13,Epic 2.2: Approval Engine,"approval,human-in-the-loop",Approval,Sprint 4,"- Type A: Acknowledgement (low-risk)
- Type B: Approval (scope, design)
- Type C: Go/No-Go (production)
- Context and diff in request
- Role-based routing
- Expiration handling
- Escalation rules"
"Approval UI with Diff View",Story,"As an approver, I want to see exactly what I'm approving with a visual diff so that I can make informed decisions",High,8,Epic 2.2: Approval Engine,"ui,approval,diff",Approval,Sprint 5,"- Approval inbox
- Visual diff viewer
- Context panel
- Approve/Reject with comment
- Bulk approval for Type A
- Mobile-friendly"
"Notification System",Story,"As an approver, I want to receive notifications for pending approvals so that I don't miss time-sensitive requests",High,8,Epic 2.2: Approval Engine,"notifications,email,slack",Approval,Sprint 5,"- In-app notifications
- Email notifications
- Slack notifications
- Teams notifications
- User preferences
- Digest mode"
"Epic 2.3: Immutable Audit Log",Epic,"Provide complete traceability for compliance and debugging",Critical,21,,"phase-2,audit,compliance",Audit,,
"Action Receipt System",Story,"As a compliance officer, I want every action to generate an immutable receipt so that we have complete audit trail",Critical,13,Epic 2.3: Immutable Audit Log,"audit,compliance,security",Audit,Sprint 5,"- Every action logged with full context
- Immutable storage
- Cryptographic hash chain
- Export to compliance formats"
"Audit Log Viewer",Story,"As an administrator, I want to search and view audit logs so that I can investigate issues",High,8,Epic 2.3: Immutable Audit Log,"ui,audit",Audit,Sprint 6,"- Search by date, user, agent, action
- Filter by project, entity, status
- Timeline view
- Evidence preview
- Export results
- Verify hash chain"
"Epic 2.4: Backlog Management",Epic,"Track all work items in a unified system",High,16,,"phase-2,backlog,alm",Backlog,,
"Backlog Item CRUD",Story,"As a product owner, I want to create and manage backlog items so that all work is tracked",High,8,Epic 2.4: Backlog Management,"backlog,crud",Backlog,Sprint 6,"- Item types: Epic, Story, Task, Bug, Risk, ADR
- Parent-child relationships
- Status workflow
- Priority levels
- Assignee and labels
- Estimation"
"Backlog Board (Kanban)",Story,"As a team member, I want to view work on a kanban board so that I can see progress at a glance",High,8,Epic 2.4: Backlog Management,"ui,kanban,backlog",Backlog,Sprint 6,"- Drag-and-drop kanban
- Customizable columns
- Swimlanes
- Quick filters
- Card preview
- WIP limits"
"Epic 3.1: Agent Orchestration",Epic,"Coordinate multiple specialized agents efficiently",Critical,26,,"phase-3,agents,orchestration",Agents,,
"Agent Registry & Lifecycle",Story,"As a platform, I want to manage agent instances and configurations so that agents can be deployed and monitored",High,13,Epic 3.1: Agent Orchestration,"agents,registry",Agents,Sprint 7,"- Agent type registry
- Agent configuration per org
- Health monitoring
- Versioning
- A/B testing support"
"Agent Orchestrator",Story,"As a workflow engine, I want to invoke the right agent at the right phase so that agents work together seamlessly",Critical,13,Epic 3.1: Agent Orchestration,"agents,orchestrator",Agents,Sprint 8,"- Phase-to-agent mapping
- Sequential and parallel execution
- Input/output passing
- Error handling and retry
- Timeout handling
- Approval integration"
"Epic 3.2: Discovery Agent",Epic,"Automate platform analysis and risk identification",High,21,,"phase-3,agents,discovery",Agents,,
"Platform Scanner",Story,"As a tech lead, I want the agent to scan the platform and document current state",High,13,Epic 3.2: Discovery Agent,"agents,discovery,scanner",Agents,Sprint 9,"- Scan Salesforce org metadata
- Generate As-Is snapshot
- Identify customizations
- Map dependencies
- Detect issues
- Estimate technical debt"
"Risk Detection Engine",Story,"As a tech lead, I want automatic risk identification so that we address issues proactively",High,8,Epic 3.2: Discovery Agent,"agents,discovery,risk",Agents,Sprint 9,"- Security risks
- Performance risks
- Technical debt
- Compliance risks
- Risk scoring
- Risk report"
"Epic 3.3: Scoping Agent",Epic,"Transform requirements into actionable backlog",High,16,,"phase-3,agents,scoping",Agents,,
