Summary,Issue Type,Description,Priority,Story Points,Epic Link,Labels,Component,Sprint,Acceptance Criteria
"Epic 1.1: Multi-Tenant Portal",Epic,"Provide secure, isolated workspaces for each customer organization",High,24,,"phase-1,foundation",Portal,,
"User Authentication System",Story,"As a platform user, I want to securely authenticate using email/password or SSO so that I can access my organization's workspace",High,8,Epic 1.1: Multi-Tenant Portal,"auth,security",Portal,Sprint 1,"- Email/password authentication with bcrypt hashing
- JWT tokens with 24h expiry and refresh tokens
- Google OAuth 2.0 integration
- Microsoft Azure AD integration
- Password reset via email
- Account lockout after 5 failed attempts
- Session management"
"Organization & Tenant Management",Story,"As a platform administrator, I want to create and manage organizations so that customers have isolated workspaces",High,8,Epic 1.1: Multi-Tenant Portal,"multi-tenant,rbac",Portal,Sprint 2,"- Create organization with name, domain, settings
- Invite users to organization via email
- Role-based access control (Owner, Admin, Member, Viewer)
- Organization-level settings
- Data isolation between tenants"
"Portal Dashboard UI",Story,"As a logged-in user, I want to see a dashboard with my projects and recent activity so that I can quickly navigate to my work",High,8,Epic 1.1: Multi-Tenant Portal,"ui,dashboard",Portal,Sprint 2,"- Dashboard shows active projects (BUILD/RUN)
- Recent activity feed
- Pending approvals counter (from Harbyx)
- Quick actions menu
- Navigation sidebar
- Responsive design"
"Epic 1.2: Database Architecture",Epic,"Provide reliable, scalable data storage with full audit capabilities",High,10,,"phase-1,database",Database,,
"Core Database Schema",Story,"As a developer, I want a well-designed database schema so that the platform can scale and maintain data integrity",High,5,Epic 1.2: Database Architecture,"database,schema",Database,Sprint 1,"- PostgreSQL with proper indexes
- Multi-tenant schema with organization_id
- Soft delete support
- Audit columns
- Database migrations
- Seed data"
"Vector Database for RAG",Story,"As a platform, I want to store and search document embeddings efficiently so that AI agents can retrieve relevant knowledge",High,5,Epic 1.2: Database Architecture,"database,rag,vector",Database,Sprint 2,"- pgvector extension enabled
- Documents table with vector column
- HNSW index for similarity search
- Multiple knowledge bases per org"
"Epic 1.3: API Gateway & Backend",Epic,"Provide secure, scalable API infrastructure",High,10,,"phase-1,api",Backend,,
"RESTful API Framework",Story,"As a frontend developer, I want a well-documented REST API so that I can build the UI efficiently",High,5,Epic 1.3: API Gateway & Backend,"api,documentation",Backend,Sprint 1,"- OpenAPI 3.0 specification
- Consistent error response format
- Request validation
- Rate limiting per organization
- API versioning (v1)
- Swagger UI documentation"
"WebSocket Infrastructure",Story,"As a user, I want to receive real-time updates so that I see agent progress and approvals immediately",High,5,Epic 1.3: API Gateway & Backend,"websocket,realtime",Backend,Sprint 2,"- WebSocket server with authentication
- Room-based subscriptions
- Event types for Harbyx webhook relay
- Automatic reconnection
- Presence tracking"
"Epic 2.1: Harbyx Integration",Epic,"Integrate Harbyx (app.harbyx.com) as the governance layer for human-in-the-loop AI agent control",Critical,34,,"phase-2,harbyx,governance",Harbyx,,
"Harbyx SDK Setup",Story,"As a developer, I want to integrate the Harbyx SDK so that all agent actions are governed",Critical,3,Epic 2.1: Harbyx Integration,"harbyx,sdk,integration",Harbyx,Sprint 3,"- Install aasp-sdk package
- Configure API key securely
- Create Harbyx client wrapper service
- Test connection to Harbyx API
- Handle authentication errors gracefully"
"Policy Configuration",Story,"As a platform administrator, I want to define approval policies in Harbyx so that agent actions are evaluated correctly",Critical,5,Epic 2.1: Harbyx Integration,"harbyx,policies,governance",Harbyx,Sprint 3,"- Create Type A policy (Acknowledgement - auto-approve low-risk)
- Create Type B policy (Approval required - scope, design)
- Create Type C policy (Go/No-Go - production deployments)
- Map policies to agent action types
- Configure approver roles per policy"
"Agent Action Decorator",Story,"As a developer, I want to wrap agent actions with Harbyx governance so that every action is evaluated before execution",Critical,8,Epic 2.1: Harbyx Integration,"harbyx,decorator,agents",Harbyx,Sprint 3,"- Create @governed_action decorator
- Automatically call Harbyx /ingest endpoint
- Handle ALLOW -> proceed with action
- Handle BLOCK -> raise exception with reason
- Handle REQUIRE_APPROVAL -> wait for decision
- Pass approval context to agent"
"Approval Inbox UI",Story,"As an approver, I want to see and act on pending approvals so that I can make timely decisions",High,8,Epic 2.1: Harbyx Integration,"harbyx,ui,approvals",Harbyx,Sprint 4,"- Fetch pending approvals from Harbyx API
- Display approval cards with context
- Show action details and diff when available
- Approve/Reject buttons with comment
- Real-time updates via Harbyx webhooks
- Filter by type, agent, status"
"Audit Log Viewer",Story,"As an administrator, I want to view the audit trail from Harbyx so that I can investigate and demonstrate compliance",High,5,Epic 2.1: Harbyx Integration,"harbyx,audit,compliance",Harbyx,Sprint 4,"- Fetch audit logs from Harbyx
- Display in timeline view
- Search by date, agent, action type
- Show full action context on expand
- Export to CSV/JSON
- Link to related approvals"
"Webhook Integration",Story,"As a platform, I want to receive real-time events from Harbyx so that the UI updates immediately",High,5,Epic 2.1: Harbyx Integration,"harbyx,webhooks,realtime",Harbyx,Sprint 4,"- Configure Harbyx webhook endpoint
- Handle action.blocked events
- Handle approval.requested events
- Handle approval.resolved events
- Push updates to frontend via WebSocket
- Verify webhook signatures"
