Summary,Issue Type,Status,Description,Priority,Story Points,Epic Link,Labels,Component,Sprint,Acceptance Criteria
"Epic 0.1: Salesforce Demo (DONE)",Epic,Done,"Salesforce Virtual Assistant demo with RAG and MCP",High,57,,"phase-0,done",Demo,,
"Salesforce MCP API",Story,Done,"11 endpoints: query, describe, CRUD, limits",High,8,Epic 0.1: Salesforce Demo (DONE),"done,backend",Backend,Done,"- GET /status endpoint
- POST /query for SOQL
- GET /describe for metadata
- CRUD operations working"
"Salesforce Service (OAuth)",Story,Done,"Client credentials OAuth flow for Salesforce",High,5,Epic 0.1: Salesforce Demo (DONE),"done,oauth",Backend,Done,"- OAuth token acquisition
- Connection management
- Org info retrieval"
"7-Layer RAG Pipeline",Story,Done,"Query analysis → retrieval → generation → validation",High,13,Epic 0.1: Salesforce Demo (DONE),"done,rag,ai",Backend,Done,"- Query analysis with intent detection
- Dense + sparse retrieval
- RRF fusion
- Cross-encoder reranking
- GPT-4o generation
- Validation scoring"
"Consultant Avatar UI",Story,Done,"Avatar display with status indicators",High,5,Epic 0.1: Salesforce Demo (DONE),"done,ui",Frontend,Done,"- Avatar video display
- Listening/thinking/speaking states
- Status indicator"
"Conversation Panel",Story,Done,"Message history with speaker identification",High,5,Epic 0.1: Salesforce Demo (DONE),"done,ui",Frontend,Done,"- Message history
- User/assistant speaker identification
- Timestamps"
"RAG Context Visualization",Story,Done,"Real-time pipeline stage display",High,5,Epic 0.1: Salesforce Demo (DONE),"done,ui",Frontend,Done,"- Pipeline stage progress
- Retrieved documents display
- Metrics visualization"
"MCP Operations Panel",Story,Done,"Operations history and execution",High,3,Epic 0.1: Salesforce Demo (DONE),"done,ui",Frontend,Done,"- Operation cards
- Execution history
- Status indicators"
"Settings Panel",Story,Done,"Voice, connection, debug settings",Medium,3,Epic 0.1: Salesforce Demo (DONE),"done,ui",Frontend,Done,"- Voice selection
- Debug mode toggle
- Connection status"
"Greeting Modal",Story,Done,"Onboarding persona introduction",Medium,2,Epic 0.1: Salesforce Demo (DONE),"done,ui",Frontend,Done,"- Avatar introduction
- Getting started guide"
"Salesforce Demo Page",Story,Done,"Full page integration of all components",High,8,Epic 0.1: Salesforce Demo (DONE),"done,ui",Frontend,Done,"- 3-column layout
- All components integrated
- ElevenLabs voice working"
"Epic 0.2: Platform Infrastructure (DONE)",Epic,Done,"Core platform infrastructure",High,23,,"phase-0,done",Platform,,
"Flask App Framework",Story,Done,"SQLAlchemy ORM, CORS, routing",High,5,Epic 0.2: Platform Infrastructure (DONE),"done,backend",Backend,Done,"- Flask app initialized
- SQLAlchemy ORM configured
- CORS for localhost and VPS"
"Database Models",Story,Done,"Task, Team, Activity, Milestone models",High,5,Epic 0.2: Platform Infrastructure (DONE),"done,database",Backend,Done,"- 8 models created
- Migrations working"
"Next.js API Proxy Routes",Story,Done,"11 proxy routes for Salesforce APIs",High,5,Epic 0.2: Platform Infrastructure (DONE),"done,api",Frontend,Done,"- All routes proxying to Flask
- Error handling"
"ElevenLabs Hook",Story,Done,"WebSocket integration for voice",High,5,Epic 0.2: Platform Infrastructure (DONE),"done,voice",Frontend,Done,"- useElevenLabsConversation hook
- WebSocket connection management"
"Avatar Library",Story,Done,"6 avatars with metadata",Medium,3,Epic 0.2: Platform Infrastructure (DONE),"done,avatars",Frontend,Done,"- 3 English avatars
- 3 French avatars
- Metadata and expertise levels"
"Epic 1.1: Critical Integration Fixes",Epic,In Progress,"Fix blocking integration issues",Critical,14,,"phase-1,integration",Integration,Sprint 1,
"Register Flask Blueprints",Story,In Progress,"Add salesforce_rag_bp and salesforce_mcp_bp to app.py",Critical,1,Epic 1.1: Critical Integration Fixes,"blocking,backend",Backend,Sprint 1,"- Import blueprints
- Register with app
- Test endpoints return 200"
"Move Salesforce Credentials to .env",Story,To Do,"Remove hardcoded OAuth credentials",Critical,2,Epic 1.1: Critical Integration Fixes,"security,config",Backend,Sprint 1,"- SF_CLIENT_ID in .env
- SF_CLIENT_SECRET in .env
- SF_LOGIN_URL in .env"
"Run Data Ingestion Pipeline",Story,To Do,"Execute ingestion scripts to create FAISS index",High,3,Epic 1.1: Critical Integration Fixes,"data,rag",Backend,Sprint 1,"- Run ingest_salesforce_docs.py
- Run ingest_salesforce_faiss.py
- Verify index created"
"Index Salesforce Documentation",Story,To Do,"Ingest 1000+ Salesforce help documents",High,5,Epic 1.1: Critical Integration Fixes,"data,rag",Backend,Sprint 1,"- Download docs
- Parse and chunk
- Generate embeddings
- Store in FAISS"
"End-to-End Demo Testing",Story,To Do,"Verify complete demo flow works",High,3,Epic 1.1: Critical Integration Fixes,"testing,qa",QA,Sprint 1,"- Voice queries work
- Text queries work
- MCP operations work
- Real RAG responses"
"Epic 1.2: Authentication System",Epic,To Do,"User authentication and session management",Critical,25,,"phase-1,auth,security",Auth,Sprint 2,
"User Database Model",Story,To Do,"Create User table with org relationships",Critical,3,Epic 1.2: Authentication System,"database,auth",Backend,Sprint 2,"- User table created
- id, email, password_hash, org_id, role, created_at
- Foreign key to Organization"
"Password Hashing (bcrypt)",Story,To Do,"Secure password storage",Critical,2,Epic 1.2: Authentication System,"security,auth",Backend,Sprint 2,"- bcrypt hashing on registration
- Verification on login"
"JWT Token Generation",Story,To Do,"JWT access and refresh tokens",Critical,3,Epic 1.2: Authentication System,"auth,jwt",Backend,Sprint 2,"- 24h access token expiry
- Refresh token flow
- Token payload with user_id, org_id, role"
"Auth Middleware",Story,To Do,"Protect API routes with auth",Critical,3,Epic 1.2: Authentication System,"auth,middleware",Backend,Sprint 2,"- @token_required decorator
- Extract user from token
- Inject into request context"
"Login API Endpoint",Story,To Do,"POST /api/auth/login",Critical,3,Epic 1.2: Authentication System,"api,auth",Backend,Sprint 2,"- Validate credentials
- Return access + refresh tokens
- Set secure cookies"
"Register API Endpoint",Story,To Do,"POST /api/auth/register",Critical,3,Epic 1.2: Authentication System,"api,auth",Backend,Sprint 2,"- Validate input
- Create user
- Return tokens"
"Connect Login UI to Backend",Story,In Progress,"Wire login page to real API",High,3,Epic 1.2: Authentication System,"ui,auth",Frontend,Sprint 2,"- Call POST /api/auth/login
- Store token
- Redirect to dashboard"
"Google OAuth Integration",Story,To Do,"Continue with Google button",High,5,Epic 1.2: Authentication System,"oauth,google",Backend,Sprint 2,"- OAuth flow complete
- Create/link user
- Return tokens"
"Epic 1.3: Multi-Tenancy Foundation",Epic,To Do,"Organization isolation",High,21,,"phase-1,multi-tenant",Platform,Sprint 3,
"Organization Database Model",Story,To Do,"Organization table with settings",High,5,Epic 1.3: Multi-Tenancy Foundation,"database,multi-tenant",Backend,Sprint 3,"- id, name, domain, plan, settings
- created_at, updated_at"
"User-Organization Relationship",Story,To Do,"Users belong to orgs with roles",High,3,Epic 1.3: Multi-Tenancy Foundation,"database,rbac",Backend,Sprint 3,"- org_id on User
- Role per organization"
"Organization API Endpoints",Story,To Do,"CRUD for organizations",High,5,Epic 1.3: Multi-Tenancy Foundation,"api,multi-tenant",Backend,Sprint 3,"- Create org
- List user orgs
- Update settings
- Invite users"
"Data Isolation Middleware",Story,To Do,"Filter all queries by org_id",Critical,5,Epic 1.3: Multi-Tenancy Foundation,"security,multi-tenant",Backend,Sprint 3,"- Inject org_id filter
- Prevent cross-tenant access"
"Organization Selector UI",Story,To Do,"Switch between organizations",Medium,3,Epic 1.3: Multi-Tenancy Foundation,"ui,multi-tenant",Frontend,Sprint 3,"- Dropdown in header
- Switch org context"
"Epic 1.4: Dashboard Enhancement",Epic,To Do,"Complete dashboard functionality",High,18,,"phase-1,dashboard",Frontend,Sprint 4,
"Dashboard Home Completion",Story,In Progress,"Real stats and recent sessions",High,5,Epic 1.4: Dashboard Enhancement,"ui,dashboard",Frontend,Sprint 4,"- Stats from API
- Recent sessions
- Avatar quick access"
"Session History",Story,To Do,"List past conversations",High,5,Epic 1.4: Dashboard Enhancement,"ui,history",Frontend,Sprint 4,"- Conversation list
- Timestamps
- Transcripts viewable"
"Usage Statistics API",Story,To Do,"Track usage metrics",High,3,Epic 1.4: Dashboard Enhancement,"api,analytics",Backend,Sprint 4,"- Queries per day
- Tokens used
- Sessions count"
"Settings Page",Story,To Do,"User preferences and API keys",Medium,5,Epic 1.4: Dashboard Enhancement,"ui,settings",Frontend,Sprint 4,"- Profile settings
- Notification preferences
- API key management"
"Epic 2.1: Harbyx Integration",Epic,To Do,"Integrate Harbyx governance platform",Critical,21,,"phase-2,harbyx,governance",Governance,Sprint 5,
"Harbyx SDK Setup",Story,To Do,"Install and configure aasp-sdk",Critical,3,Epic 2.1: Harbyx Integration,"harbyx,sdk",Backend,Sprint 5,"- Install aasp-sdk
- Configure API key
- Health check passes"
"Policy Configuration (Type A/B/C)",Story,To Do,"Create 3 policy types in Harbyx",Critical,5,Epic 2.1: Harbyx Integration,"harbyx,policies",Backend,Sprint 5,"- Type A: Acknowledgement
- Type B: Approval required
- Type C: Go/No-Go"
"@governed_action Decorator",Story,To Do,"Wrap agent actions with governance",Critical,8,Epic 2.1: Harbyx Integration,"harbyx,decorator",Backend,Sprint 5,"- Decorator implementation
- Call Harbyx /ingest
- Handle all response types"
"Handle ALLOW/BLOCK/REQUIRE_APPROVAL",Story,To Do,"Process Harbyx decisions",Critical,5,Epic 2.1: Harbyx Integration,"harbyx,logic",Backend,Sprint 5,"- ALLOW: proceed
- BLOCK: raise exception
- REQUIRE_APPROVAL: wait"
"Epic 2.2: Approval Workflow UI",Epic,To Do,"Approval inbox and management",High,23,,"phase-2,approvals,ui",Frontend,Sprint 6,
"Approval Inbox Page",Story,To Do,"List pending approvals",High,8,Epic 2.2: Approval Workflow UI,"ui,approvals",Frontend,Sprint 6,"- Fetch from Harbyx API
- List view with filters
- Sort by priority/date"
"Approval Card Component",Story,To Do,"Approve/reject with context",High,5,Epic 2.2: Approval Workflow UI,"ui,approvals",Frontend,Sprint 6,"- Action context display
- Diff view when available
- Approve/reject buttons"
"Harbyx Webhook Handler",Story,To Do,"Receive real-time events",High,5,Epic 2.2: Approval Workflow UI,"webhooks,harbyx",Backend,Sprint 6,"- Webhook endpoint
- Signature verification
- Event processing"
"Real-time Approval Updates",Story,To Do,"Push updates via WebSocket",High,5,Epic 2.2: Approval Workflow UI,"websocket,realtime",Backend,Sprint 6,"- WebSocket channel
- Push approval changes
- UI auto-update"
"Epic 2.3: Audit & Compliance",Epic,To Do,"Audit log viewing and export",High,14,,"phase-2,audit,compliance",Audit,Sprint 7,
"Audit Log Viewer",Story,To Do,"Display Harbyx audit logs",High,5,Epic 2.3: Audit & Compliance,"ui,audit",Frontend,Sprint 7,"- Timeline view
- Action details on expand
- Pagination"
"Audit Search & Filters",Story,To Do,"Filter audit logs",Medium,3,Epic 2.3: Audit & Compliance,"ui,audit",Frontend,Sprint 7,"- Date range filter
- Agent filter
- Action type filter"
"Audit Export (CSV/JSON)",Story,To Do,"Download filtered logs",Medium,3,Epic 2.3: Audit & Compliance,"export,audit",Frontend,Sprint 7,"- CSV export
- JSON export
- Filtered results"
